Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
5203628888,"Apr 27, 2021, 4:14:21 PM",Evening Run,Run,,2301,5.65,,,false,,HOKA Arahi 4,activities/5544827773.gpx.gz,,,2301.0,2241.0,5654.1,6.1,2.523,66.8,68.2,426.6,475.2,44.1,0.0,,,93.0,72.0,,,,,600.0,,22.0,,,,,,,,,,,,,,0.0,,1.0,5884.6,1619539200.0,2.0,13.6,13.6,3.1,0.49,1003.2,1.1,1.2,31.0,0.1,1619496960.0,1619548416.0,0.53,,7993109.0,0.01,5.0,0.35,16093.0,1.0,361.3,,,,,,,,,,,,,,,,,,,,,,,""
5217559434,"Apr 30, 2021, 11:16:25 AM",Afternoon Run,Run,,2085,5.49,,,false,,HOKA Arahi 4,activities/5559844796.fit.gz,,,2085.0,2031.0,5496.0,7.4,2.706,50.0,51.0,424.4,471.2,46.7,-0.1,,,86.0,73.0,,,,,466.0,,24.0,,,,,,,,,,,,,,0.0,,1.0,5737.0,1619780352.0,2.0,15.5,15.5,9.4,0.67,1008.6,2.2,2.2,0.0,0.0,1619755904.0,1619807872.0,0.64,,7993109.0,0.04,5.0,0.83,16093.0,4.0,351.1,,,,,,,,,,,,,,,,,,,,,,,""
5234976914,"May 3, 2021, 8:38:28 AM",Morning Hike,Hike,,3085,2.65,,,false,,Salomon Trailschuhe,activities/5577977412.gpx.gz,,,3085.0,2549.0,2658.7,10.6,1.043,448.8,6.2,819.0,1268.0,46.5,16.6,,,109.0,56.0,,,,,271.0,,22.0,,,,,,,,,,,,0.0,,0.0,,1.0,,1620028800.0,2.0,5.5,5.5,-1.2,0.62,1024.1,0.6,1.1,46.0,0.0,1620014592.0,1620067072.0,0.75,,9317561.0,0.09,5.0,0.54,16093.0,2.0,382.8,,,,,,,,,,,,,,,,,,,,,,,""
5234977161,"May 1, 2021, 1:40:55 PM",Afternoon Run,Run,,2546,7.23,,,false,,HOKA Arahi 4,activities/5577977640.gpx.gz,,,2546.0,2527.0,7238.6,5.9,2.865,59.0,59.6,422.6,435.2,33.3,0.0,,,85.0,76.0,,,,,754.0,,19.0,,,,,,,,,,,,,,0.0,,1.0,7390.3,1619874048.0,5.0,8.4,8.4,5.5,0.82,1007.8,1.2,2.3,322.0,0.7,1619842048.0,1619894144.0,0.68,,7993109.0,0.78,5.0,1.0,13197.0,3.0,352.7,,,,,,,,,,,,,,,,,,,,,,,""
5423812183,"Jun 4, 2021, 10:21:04 AM",Lunch Run,Run,,2021,2.08,,,false,,HOKA Arahi 4,activities/5775033431.gpx.gz,,,2021.0,849.0,2085.0,6.0,2.456,50.2,47.2,493.2,545.2,49.0,0.1,,,82.0,71.0,,,,,235.0,,24.0,,,,,,,,,,,,,,0.0,,1.0,2305.3,1622800768.0,2.0,21.3,21.3,15.5,0.69,1022.5,1.7,1.7,273.0,0.1,1622777600.0,1622834304.0,0.83,,7993109.0,0.02,5.0,0.82,16093.0,4.0,333.8,,,,,,,,,,,,,,,,,,,,,,,""
5423814724,"Jun 6, 2021, 11:39:15 AM",Afternoon Run,Run,,2344,5.88,,,false,,HOKA Arahi 4,activities/5775036063.gpx.gz,,,2344.0,2292.0,5885.8,8.5,2.568,75.0,77.6,401.6,451.8,48.1,0.0,,,90.0,75.0,,,,,628.0,,22.0,,,,,,,,,,,,,,0.0,,1.0,6153.7,1622977152.0,3.0,17.7,18.0,16.9,0.95,1020.5,1.8,2.8,2.0,0.1,1622950272.0,1623007232.0,0.89,,7993109.0,0.12,5.0,0.97,16093.0,4.0,332.3,,,,,,,,,,,,,,,,,,,,,,,""
5461842762,"Jun 12, 2021, 11:54:38 AM",Afternoon Hike,Hike,,3573,2.21,,,false,,Salomon Trailschuhe,activities/5814700727.gpx.gz,,,3573.0,2870.0,2213.4,2.4,0.771,522.0,10.6,537.4,1048.8,50.0,23.1,,,92.0,52.0,,,,,226.0,,28.0,,,,,,,,,,,,0.0,,0.0,,1.0,,1623495552.0,2.0,24.8,24.8,12.8,0.47,1021.7,2.1,2.3,303.0,0.0,1623468544.0,1623525760.0,0.07,,9317561.0,0.0,,0.43,16093.0,7.0,321.2,,,,,,,,,,,,,,,,,,,,,,,""
5461844206,"Jun 13, 2021, 9:20:25 AM",Lunch Activity,Workout,,891,5.29,,,false,,,activities/5814702324.gpx.gz,,,891.0,606.0,5297.7,11.4,8.742,0.0,1063.0,464.2,1529.0,12.2,-20.1,,,105.0,61.0,,,,,,,21.0,,,,,,,,,,,,,,0.0,,1.0,,1623574784.0,2.0,14.7,14.7,13.8,0.94,1024.0,1.6,2.0,9.0,0.0,1623554816.0,1623612032.0,0.1,,,0.01,5.0,0.62,16093.0,5.0,319.4,,,,,,,,,,,,,,,,,,,,,,,""
5483639505,"Jun 16, 2021, 4:40:16 PM",Evening Run,Run,,2380,6.45,,,false,,HOKA Arahi 4,activities/5837356620.gpx.gz,,,2380.0,2334.0,6456.6,7.3,2.766,66.4,67.8,419.4,467.6,40.5,0.0,,,78.0,74.0,,,,,679.0,,27.0,,,,,,,,,,,,,,0.0,,1.0,6658.3,1623859200.0,2.0,29.2,29.2,14.6,0.41,1012.3,1.6,3.1,63.0,0.0,1623814144.0,1623871616.0,0.2,,7993109.0,0.01,5.0,0.86,16093.0,2.0,326.9,,,,,,,,,,,,,,,,,,,,,,,""
5496816882,"Jun 17, 2021, 5:33:03 PM",Evening Swim,Swim,,604,88,,,false,,,activities/5851112498.gpx.gz,,,604.0,517.0,88.4,1.0,0.171,14.4,0.0,373.4,387.8,49.3,16.3,,,,,,,,,,,23.0,,,,,,,,,,,,,,0.0,,1.0,,1623949184.0,2.0,30.4,30.4,15.5,0.4,1011.9,2.3,5.7,59.0,0.0,1623900544.0,1623958016.0,0.24,,,0.0,,0.75,16093.0,1.0,324.1,,,,,,,,,,,,,,,,,,,,,,,""
